order,seasonal_order,MAPE,RMSE,MAPA (%)
"(1, 2, 1)","(0, 0, 0, 12)",0.0372,691886959.87,96.28
"(1, 2, 1)","(0, 0, 1, 12)",0.0192,412270057.76,98.08
"(1, 2, 1)","(0, 1, 0, 12)",0.0126,236723242.41,98.74
"(1, 2, 1)","(0, 1, 1, 12)",0.0142,264637273.47,98.58
"(1, 2, 1)","(1, 0, 0, 12)",0.0056,110874029.14,99.44
"(1, 2, 1)","(1, 0, 1, 12)",0.0115,210262959.47,98.85
"(1, 2, 1)","(1, 1, 0, 12)",0.0558,987960173.12,94.42
"(1, 2, 1)","(1, 1, 1, 12)",0.0055,120098971.37,99.45
"(1, 2, 2)","(0, 0, 0, 12)",0.0564,1001729540.02,94.36
"(1, 2, 2)","(0, 0, 1, 12)",0.0627,1115595874.18,93.73
"(1, 2, 2)","(0, 1, 0, 12)",0.0233,425288412.39,97.67
"(1, 2, 2)","(0, 1, 1, 12)",0.007,143981602.15,99.3
"(1, 2, 2)","(1, 0, 0, 12)",0.0056,100563125.65,99.44
"(1, 2, 2)","(1, 0, 1, 12)",0.019,346131218.26,98.1
"(1, 2, 2)","(1, 1, 0, 12)",0.0648,1147992090.61,93.52
"(1, 2, 2)","(1, 1, 1, 12)",0.037,657225888.62,96.3
"(2, 0, 0)","(0, 0, 0, 12)",0.021,413977954.11,97.9
"(2, 0, 0)","(0, 0, 1, 12)",0.0167,401117891.98,98.33
"(2, 0, 0)","(0, 1, 0, 12)",0.0044,99877145.04,99.56
"(2, 0, 0)","(0, 1, 1, 12)",0.0044,100250909.6,99.56
"(2, 0, 0)","(1, 0, 0, 12)",0.0044,101448760.65,99.56
"(2, 0, 0)","(1, 0, 1, 12)",0.0044,101657245.85,99.56
"(2, 0, 0)","(1, 1, 0, 12)",0.004,96064392.82,99.6
"(2, 0, 0)","(1, 1, 1, 12)",0.004,96037722.82,99.6
"(2, 0, 1)","(0, 0, 0, 12)",0.0214,391678837.51,97.86
"(2, 0, 1)","(0, 0, 1, 12)",0.0192,346690288.22,98.08
"(2, 0, 1)","(0, 1, 0, 12)",0.0043,99577857.47,99.57
"(2, 0, 1)","(0, 1, 1, 12)",0.0043,98714192.38,99.57
"(2, 0, 1)","(1, 0, 0, 12)",0.0044,101226789.4,99.56
"(2, 0, 1)","(1, 0, 1, 12)",0.0044,101639791.16,99.56
"(2, 0, 1)","(1, 1, 0, 12)",0.004,95217362.57,99.6
"(2, 0, 1)","(1, 1, 1, 12)",0.004,96520166.48,99.6
"(2, 0, 2)","(0, 0, 0, 12)",0.0218,393919100.56,97.82
"(2, 0, 2)","(0, 0, 1, 12)",0.0229,411783110.18,97.71
"(2, 0, 2)","(0, 1, 0, 12)",0.0044,100798601.53,99.56
"(2, 0, 2)","(0, 1, 1, 12)",0.0043,99054299.53,99.57
"(2, 0, 2)","(1, 0, 0, 12)",0.0044,101129879.39,99.56
"(2, 0, 2)","(1, 0, 1, 12)",0.0045,102439940.32,99.55
"(2, 0, 2)","(1, 1, 0, 12)",0.004,95897595.84,99.6
"(2, 0, 2)","(1, 1, 1, 12)",0.0041,97897698.06,99.59
"(2, 1, 0)","(0, 0, 0, 12)",0.0204,392983231.23,97.96
"(2, 1, 0)","(0, 0, 1, 12)",0.0186,346971027.29,98.14
"(2, 1, 0)","(0, 1, 0, 12)",0.0049,111968215.16,99.51
"(2, 1, 0)","(0, 1, 1, 12)",0.0048,111668449.99,99.52
"(2, 1, 0)","(1, 0, 0, 12)",0.0049,96295444.11,99.51
"(2, 1, 0)","(1, 0, 1, 12)",0.0048,96946310.43,99.52
"(2, 1, 0)","(1, 1, 0, 12)",0.0045,104921179.93,99.55
"(2, 1, 0)","(1, 1, 1, 12)",0.0045,105206374.06,99.55
"(2, 1, 1)","(0, 0, 0, 12)",0.0205,393346798.02,97.95
"(2, 1, 1)","(0, 0, 1, 12)",0.0174,354448735.32,98.26
